dataset_id,title,formats_available,has_supported_format,sized_format,file_count,size_bytes,size_mb,errors
d2ae29bd-0692-40de-a173-833afcddfe22,N250 Raster,TIFF,False,TIFF,27,0,0.00,"TIFF-format,  0101, Halden: HTTP 404 on HEAD; TIFF-format,  0102, Sarpsborg: HTTP 404 on HEAD; TIFF-format,  0103, Fredrikstad: HTTP 404 on HEAD; TIFF-format,  0104, Moss: HTTP 404 on HEAD; TIFF-format,  0105, Sarpsborg: HTTP 404 on HEAD; TIFF-format,  0106, Fredrikstad: HTTP 404 on HEAD; TIFF-format,  0111, Hvaler: HTTP 404 on HEAD; TIFF-format,  0113, Borge: HTTP 404 on HEAD; TIFF-format,  0114, Varteig: HTTP 404 on HEAD; TIFF-format,  0115, Skjeberg: HTTP 404 on HEAD; TIFF-format,  0118, Aremark: HTTP 404 on HEAD; TIFF-format,  0119, Marker: HTTP 404 on HEAD; TIFF-format,  0121, Rømskog: HTTP 404 on HEAD; TIFF-format,  0122, Trøgstad: HTTP 404 on HEAD; TIFF-format,  0123, Spydeberg: HTTP 404 on HEAD; TIFF-format,  0124, Askim: HTTP 404 on HEAD; TIFF-format,  0125, Eidsberg: HTTP 404 on HEAD; TIFF-format,  0127, Skiptvet: HTTP 404 on HEAD; TIFF-format,  0128, Rakkestad: HTTP 404 on HEAD; TIFF-format,  0130, Tune: HTTP 404 on HEAD; TIFF-format,  0131, Rolvsøy: HTTP 404 on HEAD; TIFF-format,  0133, Kråkerøy: HTTP 404 on HEAD; TIFF-format,  0134, Onsøy: HTTP 404 on HEAD; TIFF-format,  0135, Råde: HTTP 404 on HEAD; TIFF-format,  0136, Rygge: HTTP 404 on HEAD; TIFF-format,  0137, Våler: HTTP 404 on HEAD; TIFF-format,  0138, Hobøl: HTTP 404 on HEAD"
6bb353c3-2b21-42fe-b296-31e60f64f95d,N5 Kartdata,SOSI,False,SOSI,357,,,"access restricted (Norge digitalt-begrenset), size unavailable anonymously"
61f2b119-0b47-4f96-b97e-721e191cfcda,N5 Presentasjonsdata,FGDB;GML;SOSI,True,FGDB,372,,,"access restricted (Norge digitalt-begrenset), size unavailable anonymously"
bd23cc07-45d3-4346-a8cd-e8c9f506656e,N5 Raster,TIFF,False,TIFF,357,,,"access restricted (Norge digitalt-begrenset), size unavailable anonymously"
ea192681-d039-42ec-b1bc-f3ce04c189ac,N50 Kartdata,FGDB;GML;POSTGIS;SOSI,True,FGDB,681,19703838811,18791.05,
bbe517ba-3b3a-4c96-a78e-104f6c4804d1,N50 Raster (UTM32) - Rutevis,TIFF,False,TIFF,770,11711625963,11169.08,
1a7d4919-fc5d-4278-9ae9-45ee23f26808,N50 Raster (UTM33) - Rutevis,TIFF,False,TIFF,1336,35513852834,33868.65,
7938fc49-4550-4502-a438-d36e0d12783c,N50 Raster (UTM35) - Rutevis,TIFF,False,TIFF,245,2177174377,2076.32,
58e0dbf8-0d47-47c8-8086-107a3fa2dfa4,N500 Kartdata,FGDB;GML;POSTGIS;SOSI,True,FGDB,29,179422492,171.11,
b466d866-8e32-438b-bb58-80e52fe85ada,N500 Raster,TIFF,False,TIFF,27,0,0.00,"TIFF-format,  0101, Halden: HTTP 404 on HEAD; TIFF-format,  0102, Sarpsborg: HTTP 404 on HEAD; TIFF-format,  0103, Fredrikstad: HTTP 404 on HEAD; TIFF-format,  0104, Moss: HTTP 404 on HEAD; TIFF-format,  0105, Sarpsborg: HTTP 404 on HEAD; TIFF-format,  0106, Fredrikstad: HTTP 404 on HEAD; TIFF-format,  0111, Hvaler: HTTP 404 on HEAD; TIFF-format,  0113, Borge: HTTP 404 on HEAD; TIFF-format,  0114, Varteig: HTTP 404 on HEAD; TIFF-format,  0115, Skjeberg: HTTP 404 on HEAD; TIFF-format,  0118, Aremark: HTTP 404 on HEAD; TIFF-format,  0119, Marker: HTTP 404 on HEAD; TIFF-format,  0121, Rømskog: HTTP 404 on HEAD; TIFF-format,  0122, Trøgstad: HTTP 404 on HEAD; TIFF-format,  0123, Spydeberg: HTTP 404 on HEAD; TIFF-format,  0124, Askim: HTTP 404 on HEAD; TIFF-format,  0125, Eidsberg: HTTP 404 on HEAD; TIFF-format,  0127, Skiptvet: HTTP 404 on HEAD; TIFF-format,  0128, Rakkestad: HTTP 404 on HEAD; TIFF-format,  0130, Tune: HTTP 404 on HEAD; TIFF-format,  0131, Rolvsøy: HTTP 404 on HEAD; TIFF-format,  0133, Kråkerøy: HTTP 404 on HEAD; TIFF-format,  0134, Onsøy: HTTP 404 on HEAD; TIFF-format,  0135, Råde: HTTP 404 on HEAD; TIFF-format,  0136, Rygge: HTTP 404 on HEAD; TIFF-format,  0137, Våler: HTTP 404 on HEAD; TIFF-format,  0138, Hobøl: HTTP 404 on HEAD"
